gestion,beneficiario,renta_gestion,variacion
2025,Chuquisaca,33.0,-0.56
2024,Beni,53.0,
2025,Todos,675.0,-0.5256500351370345
2024,Oruro,40.0,
2010,Todos,2235.0,0.04147250698974836
2024,La Paz,82.0,
2024,Santa Cruz,172.0,
2024,Tarija,145.0,
2017,Todos,1896.0,0.08034188034188028
2018,Todos,2277.0,0.20094936708860756
2021,Todos,1701.0,0.029661016949152463
2006,Todos,1473.0,
2025,Oruro,19.0,-0.525
2024,Potosi,41.0,
2025,Santa Cruz,85.0,-0.5058139534883721
2022,Todos,2289.0,0.345679012345679
2025,Pando,21.0,-0.5227272727272727
2025,Cochabamba,31.0,-0.5079365079365079
2015,Todos,3839.0,-0.3006012024048096
2011,Todos,2970.0,0.32885906040268464
2020,Todos,1652.0,-0.1760598503740648
2019,Todos,2005.0,-0.11945542380324992
2013,Todos,5460.0,0.272134203168686
2023,Todos,1795.0,-0.21581476627348184
2012,Todos,4292.0,0.445117845117845
2024,Pando,44.0,
2007,Todos,1510.0,0.02511880515953835
2008,Todos,2139.0,0.4165562913907286
2025,Potosi,20.0,-0.5121951219512195
2024,Cochabamba,63.0,
2025,Tarija,68.0,-0.5310344827586206
2025,Beni,26.0,-0.5094339622641509
2016,Todos,1755.0,-0.5428497004428237
2009,Todos,2146.0,0.0032725572697522853
2014,Todos,5489.0,0.0053113553113552925
2024,Chuquisaca,75.0,
2025,La Paz,40.0,-0.5121951219512195
2024,Todos,1423.0,-0.2072423398328691
